recall@10,tm_X3b_en_body_value,tm_X3b_en_field_ref_desc,tm_X3b_en_field_ref_titre,tm_X3b_en_mots_cles,tm_X3b_en_title,tm_X3b_en_corps_value,tm_X3b_en_paragraphs_text,tm_X3b_en_name,tm_X3b_en_mission_value,tm_X3b_en_text_content
0.7377,0.3077,1.2617,1.7398,0.8143,1.7942,1.0436,0.4766,2.3279,1.0420,0.2517
0.7377,0.1844,1.2631,1.7046,0.9935,1.6496,1.0086,0.3403,2.3568,1.2885,0.6122
0.7377,0.2234,1.2716,1.7409,0.7912,1.3531,1.1019,0.4783,2.4701,0.7814,0.8640
0.7377,0.3287,1.2864,1.9561,1.0679,1.3379,1.0137,0.6328,2.0577,0.9095,0.5770
0.7418,0.2944,1.2553,1.8800,0.9750,1.4039,1.0364,0.5327,2.1730,1.0040,0.5743
0.7336,0.3110,1.1736,1.8947,1.0095,1.5969,1.0032,0.3978,2.0472,1.4601,0.2213
0.7459,0.2453,1.2471,1.7793,0.8458,1.4141,1.0772,0.4581,2.3644,0.9511,0.7033
0.7295,0.3623,1.1789,1.9460,0.7777,1.2533,1.1102,0.5594,2.1620,0.8855,0.4914
0.7459,0.2289,1.2420,1.7649,0.9395,1.5506,1.0340,0.3951,2.3081,1.1878,0.5820
0.7336,0.2232,1.1763,1.9158,0.9819,1.0600,1.0733,0.4068,2.1870,1.1611,0.9179
0.7500,0.2866,1.2404,1.7838,0.8562,1.6107,1.0510,0.4591,2.2926,1.0718,0.4183
0.7377,0.2781,1.2194,1.6487,0.6539,1.5064,1.0069,0.5810,1.9722,1.1059,0.9255
0.7377,0.2634,1.2215,1.8894,0.9844,1.4203,1.0769,0.3916,2.3688,1.0962,0.4362
0.7459,0.1604,1.2449,1.8115,0.8890,1.5125,1.0772,0.4251,2.3333,1.1233,0.4289
0.7459,0.1398,1.2482,1.8093,0.8838,1.4142,1.0903,0.4246,2.3692,1.0629,0.5714
0.7459,0.1315,1.2457,1.8021,0.9307,1.4824,1.0686,0.3931,2.3410,1.1813,0.5107
0.7418,0.1643,1.2524,1.8597,0.9484,1.4091,1.0698,0.4619,2.2735,1.0894,0.5069
0.7459,0.2232,1.2001,1.7379,0.9124,1.3643,1.0777,0.4667,2.2910,1.1578,0.5385
0.7418,0.1810,1.2284,1.8355,0.8664,1.3906,1.0333,0.3946,2.3207,1.1925,0.5093
0.7459,0.1774,1.2002,1.8156,0.9383,1.4968,1.0624,0.3883,2.2165,1.0171,0.6227
0.7418,0.1513,1.3014,1.8421,0.8590,1.4133,1.1237,0.3992,2.2431,1.1773,0.5328
0.7459,0.1492,1.1806,1.8896,0.8308,1.4190,1.0779,0.4847,2.2906,1.1946,0.5332
0.7418,0.1463,1.2358,1.9045,1.0082,1.4030,1.1017,0.3598,2.4375,1.1339,0.3563
0.7459,0.1561,1.2344,1.7440,0.7879,1.4604,1.0551,0.4861,2.1731,1.1403,0.6825
0.7418,0.1521,1.1555,1.7868,0.9229,1.4594,1.0194,0.4641,2.3535,1.0895,0.5359
0.7459,0.1515,1.2649,1.8283,0.8750,1.4248,1.0976,0.4154,2.2707,1.1554,0.5336
0.7459,0.1165,1.2357,1.7920,0.9172,1.4890,1.1226,0.4728,2.2659,1.0668,0.5643
0.7377,0.1236,1.2085,1.7543,0.8290,1.4864,1.0967,0.4077,2.3115,1.1655,0.5781
0.7418,0.1541,1.2414,1.8333,0.9185,1.4284,1.0766,0.4484,2.2830,1.1084,0.5247
0.7418,0.0973,1.2472,1.8254,0.9054,1.4634,1.0902,0.4081,2.3536,1.1490,0.4341
0.7459,0.0870,1.2488,1.8243,0.9028,1.4143,1.0968,0.4079,2.3716,1.1188,0.5054
0.7418,0.0829,1.2476,1.8207,0.9263,1.4484,1.0860,0.3921,2.3575,1.1780,0.4751
0.7459,0.1287,1.2248,1.7886,0.9171,1.3893,1.0905,0.4289,2.3325,1.1663,0.4890
0.7459,0.1058,1.2248,1.8274,0.9301,1.4556,1.0828,0.3897,2.2953,1.0960,0.5311
0.7336,0.0917,1.2150,1.8644,0.8763,1.4167,1.0906,0.4379,2.3323,1.1847,0.4863
0.7254,0.0952,1.2419,1.7917,0.8549,1.4373,1.0792,0.4386,2.2735,1.1576,0.5610
0.7336,0.0928,1.2572,1.8338,0.8984,1.4196,1.1005,0.4033,2.3223,1.1651,0.4865
0.7131,0.0753,1.2426,1.8157,0.9195,1.4516,1.1130,0.4320,2.3199,1.1208,0.5019
0.7377,0.0992,1.2509,1.8495,0.9351,1.4117,1.0866,0.4265,2.3237,1.1321,0.4732
0.7254,0.1076,1.2389,1.8374,0.8941,1.4025,1.0683,0.3929,2.3473,1.1837,0.4744
0.7336,0.0995,1.2398,1.8320,0.9005,1.4148,1.0795,0.4026,2.3405,1.1679,0.4812
0.7295,0.0887,1.2392,1.8694,0.9679,1.4122,1.1021,0.3791,2.4071,1.1490,0.3993
0.7295,0.0903,1.2398,1.8500,0.9396,1.4185,1.0964,0.3939,2.3737,1.1511,0.4397
0.7254,0.0935,1.2412,1.8111,0.8831,1.4311,1.0849,0.4237,2.3069,1.1554,0.5205
0.7295,0.0911,1.2402,1.8403,0.9255,1.4217,1.0935,0.4014,2.3570,1.1522,0.4599
0.7254,0.0606,1.2491,1.8318,0.9123,1.4143,1.1000,0.3995,2.3728,1.1468,0.4724
0.7254,0.0814,1.2371,1.8140,0.9195,1.4018,1.0969,0.4100,2.3532,1.1705,0.4642
0.7295,0.0700,1.2371,1.8334,0.9260,1.4349,1.0931,0.3904,2.3346,1.1354,0.4853
0.7254,0.0657,1.2483,1.8324,0.9136,1.4389,1.0968,0.3996,2.3638,1.1619,0.4368
0.7254,0.0585,1.2485,1.8300,0.9241,1.4313,1.0946,0.3916,2.3657,1.1764,0.4573
0.7295,0.0667,1.2502,1.8444,0.9285,1.4130,1.0949,0.4088,2.3489,1.1534,0.4563
0.7295,0.0629,1.2322,1.8519,0.8991,1.4155,1.0969,0.4145,2.3531,1.1797,0.4629
0.7254,0.0635,1.2533,1.8366,0.9101,1.4169,1.1019,0.3972,2.3481,1.1699,0.4630
0.7254,0.0669,1.2446,1.8356,0.9112,1.4145,1.0914,0.3969,2.3572,1.1714,0.4603
0.7295,0.0622,1.2446,1.8447,0.9307,1.4164,1.0999,0.3925,2.3738,1.1629,0.4396
0.7295,0.0583,1.2453,1.8360,0.9260,1.4249,1.1043,0.4022,2.3604,1.1550,0.4551
0.7295,0.0606,1.2351,1.8350,0.9302,1.4241,1.0943,0.4029,2.3719,1.1535,0.4509
0.7295,0.0660,1.2372,1.8426,0.9175,1.4083,1.1014,0.4107,2.3556,1.1424,0.4553
0.7295,0.0589,1.2352,1.8422,0.9287,1.3947,1.1002,0.4049,2.3559,1.1530,0.4795
0.7295,0.0387,1.2460,1.8663,0.9247,1.4303,1.1008,0.3935,2.3670,1.1408,0.4551
0.7295,0.0551,1.2333,1.8553,0.9343,1.4210,1.0978,0.4028,2.3462,1.1634,0.4434
0.7254,0.0565,1.2373,1.8495,0.9288,1.4193,1.0983,0.4020,2.3529,1.1592,0.4507
0.7254,0.0521,1.2433,1.8364,0.9239,1.4246,1.0982,0.3908,2.3543,1.1551,0.4623
0.7254,0.0504,1.2498,1.8419,0.9252,1.4137,1.0991,0.4000,2.3614,1.1641,0.4479
0.7254,0.0486,1.2408,1.8456,0.9105,1.4149,1.1001,0.4028,2.3635,1.1772,0.4512
0.7295,0.0482,1.2470,1.8420,0.9263,1.4154,1.1016,0.3918,2.3739,1.1689,0.4395
0.7295,0.0462,1.2474,1.8377,0.9239,1.4196,1.1038,0.3967,2.3672,1.1649,0.4473
0.7336,0.0474,1.2422,1.8372,0.9260,1.4192,1.0988,0.3970,2.3729,1.1641,0.4452
0.7295,0.0501,1.2433,1.8409,0.9197,1.4113,1.1024,0.4009,2.3648,1.1586,0.4474
0.7295,0.0465,1.2423,1.8408,0.9253,1.4045,1.1018,0.3980,2.3649,1.1639,0.4595
0.7295,0.0364,1.2477,1.8528,0.9233,1.4223,1.1020,0.3923,2.3705,1.1578,0.4473
0.7336,0.0474,1.2493,1.8356,0.9171,1.4143,1.1017,0.3953,2.3734,1.1608,0.4559
0.7295,0.0432,1.2515,1.8353,0.9360,1.4169,1.1024,0.3880,2.3719,1.1493,0.4472
0.7295,0.0399,1.2429,1.8377,0.9235,1.4188,1.1041,0.3884,2.3761,1.1595,0.4503
0.7336,0.0358,1.2494,1.8435,0.9247,1.4067,1.1062,0.3972,2.3876,1.1694,0.4334
0.7295,0.0472,1.2510,1.8433,0.9253,1.4101,1.1007,0.4013,2.3681,1.1670,0.4421
0.7336,0.0417,1.2449,1.8391,0.9240,1.4166,1.1032,0.3916,2.3741,1.1614,0.4483
